fb_internal_id,fb_published_date,fb_title,fb_link,fb_description,likes,shares,comments,consumptions
301552756599088_1320358194718534,2017-04-02 18:31:18+02,Hijos de padres emocionalmente inmaduros: infancias perdidas,https://lamenteesmaravillosa.com/padres-emocionalmente-inmaduros/,"Ser hijo de unos padres emocionalmente inmaduros deja huellas permanentes. Tanto, que son muchos los niños que acaban asumiendo responsabilidades de adulto.",4403,3854,70,23700
301552756599088_1320031461417874,2017-04-02 20:41:01+02,No eres consciente - La Mente es Maravillosa,https://lamenteesmaravillosa.com/no-eres-consciete/,"No eres consciente de gran parte de lo que ocurre a tu alrededor, pero esa es una ley que forma parte de la vida y por lo tanto nunca será una excusa",348,119,2,2589
301552756599088_1320599111361109,2017-04-02 22:00:00+02,No mendigues la atención de nadie y mucho menos amor - La Mente es Maravillosa,https://lamenteesmaravillosa.com/no-mendigues-la-atencion-nadie-mucho-menos-amor/,"No mendigues amor a quien no tiene tiempo para ti, a quien solo piensa en sí mismo. No te merece quien te hace sentir invisible e insignificante.",14054,8563,157,35615
301552756599088_1317835674970786,2017-04-02 23:59:00+02,Hay que dejar ir a quien nunca ha estado - La Mente es Maravillosa,https://lamenteesmaravillosa.com/dejar-ir-quien-nunca-ha-estado/,"Lo que no dejas ir, lo cargas. Lo que cargas, te pesa. Lo que te pesa, te hunde. Hay que practicar el soltar y el dejar ir. Hay que saber marcharse.",6605,2715,75,21343
301552756599088_1320033954750958,2017-04-03 02:00:00+02,"La tierna historia de Koko, la gorila más inteligente del mundo - La Mente es Maravillosa",https://lamenteesmaravillosa.com/la-tierna-historia-koko-la-gorila-mas-inteligente-del-mundo/,Koko es una gorila adoptada en la Universidad de Stanford. No ha dejado de asombrar al mundo. Incluso ha hecho mensajes para los humanos,2115,636,22,8837
301552756599088_1321320844622269,2017-04-03 14:30:00+02,Educar desde fuera para que los niños aprendan a ser felices desde dentro - La Mente es Maravillosa,https://lamenteesmaravillosa.com/educar-desde-los-ninos-aprendan-felices-desde-dentro/,Educar desde un primer control ejercido desde fuera favorecerá que se ajuste después la norma hacia adentro. Permitiendo un sano crecimiento y autonomía.,237,129,0,887
301552756599088_1321322671288753,2017-04-03 16:30:00+02,El autor de un texto en blanco - La Mente es Maravillosa,https://lamenteesmaravillosa.com/autor-texto-blanco/,Cuando nos encontramos un texto sin autor no podemos estar seguros de su veracidad y perdemos la oportunidad de conocer más sobre su autor.,277,75,3,1110
301552756599088_1321323027955384,2017-04-03 18:30:00+02,No se puede volver atrás después de haber abierto los ojos,https://lamenteesmaravillosa.com/volver-atras-haber-abierto-ojos/,"Hay heridas que en lugar de abrirnos la piel nos abren los ojos. Cuando eso ocurre, no cabe otra opción más que coger nuestros pedazos rotos e irnos.",17053,10902,225,47038
301552756599088_1321462614608092,2017-04-03 20:30:00+02,No me grites que estoy sorda de un pie - La Mente es Maravillosa,https://lamenteesmaravillosa.com/no-me-grites-estoy-sorda-pie/,"No me grites que así no obedezco, así logras incomprensión y frustración. Si quieres respeto, antes demuéstralo y sé tú el modelo de comportamiento.",3636,1427,20,8694
301552756599088_1321340901286930,2017-04-03 22:00:00+02,"Detrás de cada niño que cree en sí mismo, hay unos padres que creyeron en él primero - La Mente es Maravillosa",https://lamenteesmaravillosa.com/detras-de-cada-nino-que-cree-en-si-mismo-hay-unos-padres-que-creyeron-en-el-primero/,"Las alas de un niño comienzan a entretejerse cuando somos costureros en sus sueños, cuando confiamos en su verdad, en sus ilusiones y en sus capacidades...",4496,2569,29,7339
301552756599088_1321466497941037,2017-04-03 23:59:00+02,Este corto te enseñará el encanto de ser diferente - La Mente es Maravillosa,https://lamenteesmaravillosa.com/este-corto-te-ensenara-encanto-diferente/,"""For the birds"" es una gran lección, un corto lleno de divertido encanto donde descubrirás que ser diferente es ser irreemplazable.",13823,13557,103,59115
301552756599088_1321603087927378,2017-04-04 02:00:00+02,Desarrolla estas 3 habilidades para prevenir la depresión - La Mente es Maravillosa,https://lamenteesmaravillosa.com/desarrolla-estas-3-habilidades-prevenir-la-depresion/,La depresión se puede prevenir. Hay algunas habilidades que conviene desarrollar porque te fortalecen y te hacen menos vulnerable a los embates de la vida.,3018,2075,18,23960
301552756599088_1322405807847106,2017-04-04 14:30:00+02,¿Qué caracteriza a una personalidad pesimista? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/personalidad-pesimista/,Descubre en La Mente es Maravillosa qué caracteriza a una personalidad pesimista y qué características se suelen encontrar en este perfil,250,142,8,3092
301552756599088_1322428834511470,2017-04-04 16:30:00+02,¿Qué problemas se asocian a la fobia social? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/problemas-se-asocian-la-fobia-social/,La fobia social conlleva una serie de pensamientos sobre los demás y nosotros mismos que dificultan nuestro día a día... ¡Ponle remedio!,312,190,9,7133
301552756599088_1322542064500147,2017-04-04 18:30:00+02,La enseñanza de los tres monos sabios del santuario de Toshogu,https://lamenteesmaravillosa.com/ensenanza-los-tres-monos-sabios/,La enseñanza que nos deja la escultura en madera del santuario de Togoshu de los 3 monos místicos sigue inspirándonos a día de hoy.,2675,1891,24,8414
301552756599088_1322668444487509,2017-04-04 20:30:00+02,"Estas son mis cicatrices emocionales, ellas me han hecho más fuerte (Kintsukuroi) - La Mente es Maravillosa",https://lamenteesmaravillosa.com/estas-son-mis-cicatrices-emocionales-ellas-me-han-hecho-mas-fuerte-kintsukuroi/,Kintsukuroi es algo más que una simple técnica. Kintsukuroi es el arte de curar las heridas emocionales que permite conectar con tus fortalezas.,3275,2148,38,15946
301552756599088_1322459227841764,2017-04-04 22:34:52+02,"El amor verdadero no nace o aparece, se construye",http://lamenteesmaravillosa.com/el-amor-verdadero-no-nace-o-aparece-se-construye/,"El amor verdadero no es un acto de magia, ni se nutre del romanticismo. Una relación estable y saludable, se construye día a día con dedicación y esfuerzo.",13112,7773,146,30384
